vOTU	Length	Length_kbp	GC	phylum
vOTU11939	47274	47.274	45.9	Proteobacteria
vOTU11943	88103	88.103	39.13	Proteobacteria
vOTU11944	30501	30.501	43.89	Proteobacteria
vOTU11945	48228	48.228	47.5	Proteobacteria
vOTU11950	23014	23.014	58.45	Proteobacteria
vOTU11957	60635	60.635	55.76	Proteobacteria
vOTU11959	42778	42.778	62.03	Proteobacteria
vOTU11962	25561	25.561	42.98	Proteobacteria
vOTU11963	43864	43.864	55.56	Proteobacteria
vOTU11964	18787	18.787	58.64	Proteobacteria
vOTU11974	55434	55.434	47.16	Proteobacteria
vOTU11975	30458	30.458	52.74	Proteobacteria
vOTU11977	23891	23.891	49.31	Proteobacteria
vOTU11978	37397	37.397	53.68	Proteobacteria
vOTU11980	35711	35.711	42.46	Proteobacteria
vOTU11981	49153	49.153	56.68	Proteobacteria
vOTU11987	68092	68.092	56.61	Proteobacteria
vOTU11988	18179	18.179	39.45	Proteobacteria
vOTU11992	60212	60.212	45.7	Proteobacteria
vOTU11997	40507	40.507	60.07	Proteobacteria
vOTU11998	15891	15.891	42.45	Proteobacteria
vOTU12003	67506	67.506	34.92	Proteobacteria
vOTU12007	137729	137.729	39.2	Proteobacteria
vOTU12016	73635	73.635	31.13	Proteobacteria
vOTU12019	55331	55.331	54.07	Proteobacteria
vOTU12021	15957	15.957	41.12	Proteobacteria
vOTU12024	53807	53.807	45.91	Proteobacteria
vOTU12030	31056	31.056	56.73	Proteobacteria
vOTU12033	46775	46.775	40.61	Proteobacteria
vOTU12037	5930	5.93	39.48	Proteobacteria
vOTU12039	21923	21.923	60.01	Proteobacteria
vOTU12042	50220	50.22	54.29	Proteobacteria
vOTU12048	29722	29.722	57.51	Proteobacteria
vOTU12052	48204	48.204	48.77	Proteobacteria
vOTU12056	18939	18.939	47.82	Proteobacteria
vOTU12062	35356	35.356	46.55	Proteobacteria
vOTU12064	52193	52.193	49.97	Proteobacteria
vOTU12071	42333	42.333	59.29	Proteobacteria
vOTU12074	35867	35.867	46.35	Proteobacteria
vOTU12075	38001	38.001	50.96	Proteobacteria
vOTU12089	45242	45.242	37.39	Proteobacteria
vOTU12090	27109	27.109	63.41	Proteobacteria
vOTU12101	30042	30.042	56.01	Proteobacteria
vOTU12102	42129	42.129	52.36	Proteobacteria
vOTU12103	61500	61.5	56.81	Proteobacteria
vOTU12106	34390	34.39	43.8	Proteobacteria
vOTU12112	66883	66.883	59.7	Proteobacteria
vOTU12114	96133	96.133	37.22	Proteobacteria
vOTU12124	41898	41.898	39.1	Proteobacteria
vOTU12126	60279	60.279	40.73	Proteobacteria
vOTU12128	26820	26.82	54.1	Proteobacteria
vOTU12131	31160	31.16	40.53	Proteobacteria
vOTU12135	62131	62.131	39.36	Proteobacteria
vOTU12139	31069	31.069	41.02	Proteobacteria
vOTU12148	41928	41.928	37.4	Proteobacteria
vOTU12155	4903	4.903	38.81	Proteobacteria
vOTU12157	59843	59.843	43.77	Proteobacteria
vOTU12160	46537	46.537	47.61	Proteobacteria
vOTU12161	23260	23.26	47.8	Proteobacteria
vOTU12162	59889	59.889	49.35	Proteobacteria
vOTU12169	59829	59.829	40.69	Proteobacteria
vOTU12171	64172	64.172	53.33	Proteobacteria
vOTU12172	30078	30.078	53.17	Proteobacteria
vOTU12174	119926	119.926	37.96	Proteobacteria
vOTU12175	27235	27.235	56.26	Proteobacteria
vOTU12180	38141	38.141	50.45	Proteobacteria
vOTU12182	51057	51.057	58.98	Proteobacteria
vOTU12187	23922	23.922	60.14	Proteobacteria
vOTU12197	59347	59.347	54.57	Proteobacteria
vOTU12209	53973	53.973	50.54	Proteobacteria
vOTU12216	30969	30.969	51.55	Proteobacteria
vOTU12218	36123	36.123	39.82	Proteobacteria
vOTU12219	29140	29.14	56.7	Proteobacteria
vOTU12226	31379	31.379	39.52	Proteobacteria
vOTU12231	59055	59.055	46.28	Proteobacteria
vOTU12238	25314	25.314	27.93	Proteobacteria
vOTU12244	14850	14.85	35.72	Proteobacteria
vOTU12245	23816	23.816	48.34	Proteobacteria
vOTU12255	29390	29.39	28.82	Proteobacteria
vOTU12256	25649	25.649	37.37	Proteobacteria
vOTU12257	42487	42.487	52.28	Proteobacteria
vOTU12263	32081	32.081	37.74	Proteobacteria
vOTU12264	27648	27.648	47.18	Proteobacteria
vOTU12268	24019	24.019	40.99	Proteobacteria
vOTU12270	67162	67.162	56.33	Proteobacteria
vOTU12275	65727	65.727	59.85	Proteobacteria
vOTU12276	76603	76.603	51.39	Proteobacteria
vOTU12282	48774	48.774	59.29	Proteobacteria
vOTU12283	90066	90.066	55.91	Proteobacteria
vOTU12285	49045	49.045	46.02	Proteobacteria
vOTU12288	26935	26.935	53.53	Proteobacteria
vOTU12291	55453	55.453	58.46	Proteobacteria
vOTU12299	28805	28.805	29.44	Proteobacteria
vOTU12300	42038	42.038	55	Proteobacteria
vOTU12301	40786	40.786	28.93	Proteobacteria
vOTU12302	30836	30.836	39.63	Proteobacteria
vOTU12303	44686	44.686	52.07	Proteobacteria
vOTU12312	30700	30.7	41.21	Proteobacteria
vOTU12313	36863	36.863	47.27	Proteobacteria
vOTU12318	89662	89.662	35.6	Proteobacteria
vOTU12322	61272	61.272	48.5	Proteobacteria
vOTU12324	50706	50.706	45.12	Proteobacteria
vOTU12331	69054	69.054	60.48	Proteobacteria
vOTU12336	31613	31.613	47.95	Proteobacteria
vOTU12337	48766	48.766	45.55	Proteobacteria
vOTU12338	115655	115.655	42.57	Proteobacteria
vOTU12350	75115	75.115	46.27	Proteobacteria
vOTU12352	52433	52.433	48.5	Proteobacteria
vOTU12357	39846	39.846	41.34	Proteobacteria
vOTU12358	53879	53.879	53.87	Proteobacteria
vOTU12361	82259	82.259	56.61	Proteobacteria
vOTU12370	26109	26.109	53.1	Proteobacteria
vOTU12371	50969	50.969	51.58	Proteobacteria
vOTU12384	40743	40.743	46.83	Proteobacteria
vOTU12387	121659	121.659	44.26	Proteobacteria
vOTU12388	52844	52.844	53.46	Proteobacteria
vOTU12401	29023	29.023	34.19	Proteobacteria
vOTU12402	50869	50.869	44.54	Proteobacteria
vOTU12403	43214	43.214	45.73	Proteobacteria
vOTU12411	55039	55.039	49.34	Proteobacteria
vOTU12412	67215	67.215	45.93	Proteobacteria
vOTU12417	82684	82.684	37.03	Proteobacteria
vOTU12428	46959	46.959	58.45	Proteobacteria
vOTU12430	39505	39.505	50.17	Proteobacteria
vOTU12433	21193	21.193	51.83	Proteobacteria
vOTU12451	58060	58.06	43.48	Proteobacteria
vOTU12453	38756	38.756	60.81	Proteobacteria
vOTU12458	40101	40.101	47.45	Proteobacteria
vOTU12464	8596	8.596	41.14	Proteobacteria
vOTU12465	5016	5.016	39.65	Proteobacteria
vOTU12478	19693	19.693	43.16	Proteobacteria
vOTU12486	57873	57.873	46.02	Proteobacteria
vOTU12487	39990	39.99	54.43	Proteobacteria
vOTU12488	16303	16.303	37.09	Proteobacteria
vOTU12489	5036	5.036	40.87	Proteobacteria
vOTU12495	35730	35.73	57.15	Proteobacteria
vOTU12500	111602	111.602	37.17	Proteobacteria
vOTU12503	34462	34.462	64.44	Proteobacteria
vOTU12508	63621	63.621	37.28	Proteobacteria
vOTU12517	12021	12.021	52.33	Proteobacteria
vOTU12522	44258	44.258	29.99	Proteobacteria
vOTU12531	31566	31.566	45.01	Proteobacteria
vOTU12535	67449	67.449	31.93	Proteobacteria
vOTU12544	54926	54.926	45.65	Proteobacteria
vOTU12551	26984	26.984	44.37	Proteobacteria
vOTU12556	43148	43.148	36.05	Proteobacteria
vOTU12558	23490	23.49	56.46	Proteobacteria
vOTU12562	69514	69.514	50.53	Proteobacteria
vOTU12568	79895	79.895	53.48	Proteobacteria
vOTU12570	51858	51.858	32.09	Proteobacteria
vOTU12571	73145	73.145	41.42	Proteobacteria
vOTU12576	19921	19.921	44.58	Proteobacteria
vOTU12583	56570	56.57	54.02	Proteobacteria
vOTU12589	21331	21.331	51.26	Proteobacteria
vOTU12590	41619	41.619	53.74	Proteobacteria
vOTU12592	44690	44.69	48.54	Proteobacteria
vOTU12596	86983	86.983	30.68	Proteobacteria
vOTU12599	21109	21.109	53.7	Proteobacteria
vOTU12601	132469	132.469	54.53	Proteobacteria
vOTU12609	6626	6.626	36.73	Proteobacteria
vOTU12611	35571	35.571	56.02	Proteobacteria
vOTU12617	37484	37.484	43.97	Proteobacteria
vOTU12618	69436	69.436	47.43	Proteobacteria
vOTU12631	32369	32.369	40.01	Proteobacteria
vOTU12632	38128	38.128	53.05	Proteobacteria
vOTU12634	36828	36.828	45.53	Proteobacteria
vOTU12636	49052	49.052	48	Proteobacteria
vOTU12640	42917	42.917	40.17	Proteobacteria
vOTU12645	47557	47.557	41.71	Proteobacteria
vOTU12655	22804	22.804	57.16	Proteobacteria
vOTU12656	44396	44.396	41.38	Proteobacteria
vOTU12659	46398	46.398	41.18	Proteobacteria
vOTU12669	17861	17.861	55.69	Proteobacteria
vOTU12672	18568	18.568	59.59	Proteobacteria
vOTU12674	35814	35.814	48.5	Proteobacteria
vOTU12675	54138	54.138	48.6	Proteobacteria
vOTU12680	95804	95.804	51.14	Proteobacteria
vOTU12687	30874	30.874	47.87	Proteobacteria
vOTU12700	160631	160.631	54.8	Proteobacteria
vOTU12703	70392	70.392	55.1	Proteobacteria
vOTU12705	32885	32.885	50.08	Proteobacteria
vOTU12708	84303	84.303	44.76	Proteobacteria
vOTU12717	37617	37.617	40.69	Proteobacteria
vOTU12726	69257	69.257	39.82	Proteobacteria
vOTU12727	86093	86.093	32.54	Proteobacteria
vOTU12729	32113	32.113	58.26	Proteobacteria
vOTU12732	24243	24.243	38.85	Proteobacteria
vOTU12738	34196	34.196	63.63	Proteobacteria
vOTU12739	32607	32.607	56.28	Proteobacteria
vOTU12742	61726	61.726	45.43	Proteobacteria
vOTU12745	25657	25.657	48.35	Proteobacteria
vOTU12746	38513	38.513	34.21	Proteobacteria
vOTU12750	36137	36.137	48.13	Proteobacteria
vOTU12751	74450	74.45	55.09	Proteobacteria
vOTU12767	59601	59.601	57.42	Proteobacteria
vOTU12768	28219	28.219	55.09	Proteobacteria
vOTU12778	43454	43.454	39.63	Proteobacteria
vOTU12789	40304	40.304	38.62	Proteobacteria
vOTU12791	46596	46.596	55.09	Proteobacteria
vOTU12794	61567	61.567	53.41	Proteobacteria
vOTU12795	25686	25.686	57.52	Proteobacteria
vOTU12804	104594	104.594	37.61	Proteobacteria
vOTU12806	47826	47.826	63.29	Proteobacteria
vOTU12812	64218	64.218	46.74	Proteobacteria
vOTU12814	35358	35.358	39.3	Proteobacteria
vOTU12823	51055	51.055	35.7	Proteobacteria
vOTU12825	21775	21.775	37.93	Proteobacteria
vOTU12826	53000	53	53.93	Proteobacteria
vOTU12829	51825	51.825	55.06	Proteobacteria
vOTU12833	23039	23.039	42.13	Proteobacteria
vOTU12838	42903	42.903	41.74	Proteobacteria
vOTU12853	67857	67.857	60.31	Proteobacteria
vOTU12857	58827	58.827	59.45	Proteobacteria
vOTU12858	66723	66.723	44.91	Proteobacteria
vOTU12864	51543	51.543	46.32	Proteobacteria
vOTU12865	16660	16.66	42.09	Proteobacteria
vOTU12870	27310	27.31	55.09	Proteobacteria
vOTU12873	80980	80.98	62.88	Proteobacteria
vOTU12874	55179	55.179	28.81	Proteobacteria
vOTU12879	28530	28.53	61.6	Proteobacteria
vOTU12881	90010	90.01	30.12	Proteobacteria
vOTU12887	46033	46.033	41.19	Proteobacteria
vOTU12888	45081	45.081	42.74	Proteobacteria
vOTU12890	26712	26.712	61.48	Proteobacteria
vOTU12895	60358	60.358	42.24	Proteobacteria
vOTU12900	21950	21.95	45.22	Proteobacteria
vOTU12901	43873	43.873	46.37	Proteobacteria
vOTU12905	27205	27.205	55.41	Proteobacteria
vOTU12907	40044	40.044	40.84	Proteobacteria
vOTU12910	47604	47.604	46.1	Proteobacteria
vOTU12921	53756	53.756	52.97	Proteobacteria
vOTU12922	22714	22.714	43.01	Proteobacteria
vOTU12929	19901	19.901	52.32	Proteobacteria
vOTU12930	18359	18.359	38.41	Proteobacteria
vOTU12931	60970	60.97	60.64	Proteobacteria
vOTU12932	23621	23.621	55.71	Proteobacteria
vOTU12941	38979	38.979	50.56	Proteobacteria
vOTU12942	35918	35.918	51.1	Proteobacteria
vOTU12952	69154	69.154	58.22	Proteobacteria
vOTU12953	23418	23.418	37.83	Proteobacteria
vOTU12960	41509	41.509	61.28	Proteobacteria
vOTU12963	62960	62.96	44.26	Proteobacteria
vOTU12975	42449	42.449	53.15	Proteobacteria
vOTU12981	47052	47.052	28.96	Proteobacteria
vOTU12982	30044	30.044	51.2	Proteobacteria
vOTU12990	23875	23.875	52.84	Proteobacteria
vOTU12991	75934	75.934	45.98	Proteobacteria
vOTU12996	112301	112.301	29.59	Proteobacteria
vOTU12997	34596	34.596	43.08	Proteobacteria
vOTU12998	77636	77.636	57.66	Proteobacteria
vOTU12999	27750	27.75	41.41	Proteobacteria
vOTU13007	80520	80.52	56	Proteobacteria
vOTU13011	25062	25.062	38.48	Proteobacteria
vOTU13013	249177	249.177	43.14	Proteobacteria
vOTU13019	30091	30.091	47.53	Proteobacteria
vOTU13030	56020	56.02	55.61	Proteobacteria
vOTU13031	68902	68.902	55.61	Proteobacteria
vOTU13034	33011	33.011	46.16	Proteobacteria
vOTU13035	22704	22.704	39.6	Proteobacteria
vOTU13049	44379	44.379	37.57	Proteobacteria
vOTU13052	47462	47.462	45.72	Proteobacteria
vOTU13053	50262	50.262	41.34	Proteobacteria
vOTU13060	114353	114.353	39.5	Proteobacteria
vOTU13069	21126	21.126	37.51	Proteobacteria
vOTU13073	127470	127.47	51.51	Proteobacteria
vOTU13076	37007	37.007	58.41	Proteobacteria
vOTU13077	50436	50.436	45.15	Proteobacteria
vOTU13078	42675	42.675	59.45	Proteobacteria
vOTU13081	10928	10.928	44.32	Proteobacteria
vOTU13082	17606	17.606	46.7	Proteobacteria
vOTU13093	49196	49.196	51.43	Proteobacteria
vOTU13096	32562	32.562	43.12	Proteobacteria
vOTU13100	44476	44.476	43.89	Proteobacteria
vOTU13110	44570	44.57	54.46	Proteobacteria
vOTU13114	38754	38.754	30.27	Proteobacteria
vOTU13119	48448	48.448	52.63	Proteobacteria
vOTU13120	90792	90.792	30.56	Proteobacteria
vOTU13127	25346	25.346	52.92	Proteobacteria
vOTU13128	34772	34.772	40.31	Proteobacteria
vOTU13145	52845	52.845	48.42	Proteobacteria
vOTU13146	48203	48.203	52.63	Proteobacteria
vOTU13148	35092	35.092	45.63	Proteobacteria
vOTU13154	19195	19.195	45.5	Proteobacteria
vOTU13156	26566	26.566	54.38	Proteobacteria
vOTU13157	25277	25.277	53.05	Proteobacteria
vOTU13158	44236	44.236	58.54	Proteobacteria
vOTU13160	43770	43.77	56.9	Proteobacteria
vOTU13164	44409	44.409	47.13	Proteobacteria
vOTU13167	16590	16.59	45.27	Proteobacteria
vOTU13171	66213	66.213	31.9	Proteobacteria
vOTU13175	34336	34.336	45.73	Proteobacteria
vOTU13178	34884	34.884	39.96	Proteobacteria
vOTU13179	21145	21.145	58.5	Proteobacteria
vOTU13185	59791	59.791	53.46	Proteobacteria
vOTU13192	39701	39.701	52.19	Proteobacteria
vOTU13196	30264	30.264	54.96	Proteobacteria
vOTU13199	28008	28.008	50.33	Proteobacteria
vOTU13201	39370	39.37	53.15	Proteobacteria
vOTU13204	54549	54.549	34.26	Proteobacteria
vOTU13206	5094	5.094	40.56	Proteobacteria
vOTU13210	63951	63.951	40.39	Proteobacteria
vOTU13212	39339	39.339	41.02	Proteobacteria
vOTU13215	138798	138.798	44.08	Proteobacteria
vOTU13219	28738	28.738	53.49	Proteobacteria
vOTU13221	50870	50.87	31.61	Proteobacteria
vOTU13225	39151	39.151	56.9	Proteobacteria
vOTU13228	62668	62.668	55.1	Proteobacteria
vOTU13239	15132	15.132	44.53	Proteobacteria
vOTU13241	63459	63.459	41.24	Proteobacteria
vOTU13244	55574	55.574	43.08	Proteobacteria
vOTU13252	22081	22.081	61.88	Proteobacteria
vOTU13262	25811	25.811	61.8	Proteobacteria
vOTU13269	19370	19.37	62.51	Proteobacteria
vOTU13274	22115	22.115	39.21	Proteobacteria
vOTU13280	72607	72.607	55.14	Proteobacteria
vOTU13286	87570	87.57	43.43	Proteobacteria
vOTU13287	81916	81.916	42.54	Proteobacteria
vOTU13289	27024	27.024	41.91	Proteobacteria
vOTU13293	20749	20.749	44.52	Proteobacteria
vOTU13300	35347	35.347	58.32	Proteobacteria
vOTU13305	42692	42.692	54.8	Proteobacteria
vOTU13307	44579	44.579	44.34	Proteobacteria
vOTU13308	29110	29.11	59.1	Proteobacteria
vOTU13309	31179	31.179	51.31	Proteobacteria
vOTU13312	88593	88.593	34.12	Proteobacteria
vOTU13322	80686	80.686	49.57	Proteobacteria
vOTU13325	49842	49.842	62.76	Proteobacteria
vOTU13330	46753	46.753	28.74	Proteobacteria
vOTU13335	15644	15.644	39.83	Proteobacteria
vOTU13337	43562	43.562	62.06	Proteobacteria
vOTU13338	63786	63.786	32.41	Proteobacteria
vOTU13341	28087	28.087	41.07	Proteobacteria
vOTU13345	34574	34.574	45.69	Proteobacteria
vOTU13352	42395	42.395	52.17	Proteobacteria
vOTU13353	47448	47.448	53.96	Proteobacteria
vOTU13366	154841	154.841	35.74	Proteobacteria
vOTU13367	46343	46.343	43.13	Proteobacteria
vOTU13370	25133	25.133	55.57	Proteobacteria
vOTU13373	70473	70.473	44.69	Proteobacteria
vOTU13374	108682	108.682	53.51	Proteobacteria
vOTU13376	35609	35.609	62.25	Proteobacteria
vOTU13380	24931	24.931	30.43	Proteobacteria
vOTU13383	21832	21.832	60.81	Proteobacteria
vOTU13385	34986	34.986	42.31	Proteobacteria
vOTU13387	87493	87.493	58.81	Proteobacteria
vOTU13397	16024	16.024	54	Proteobacteria
vOTU13399	31808	31.808	58.95	Proteobacteria
vOTU13405	54028	54.028	44.47	Proteobacteria
vOTU13407	25808	25.808	54.05	Proteobacteria
vOTU13412	42487	42.487	45.14	Proteobacteria
vOTU13420	40294	40.294	55.13	Proteobacteria
vOTU13421	54057	54.057	46.04	Proteobacteria
vOTU13422	6341	6.341	41.18	Proteobacteria
vOTU13425	39868	39.868	43.39	Proteobacteria
vOTU13432	38118	38.118	48.32	Proteobacteria
vOTU13447	64467	64.467	43.65	Proteobacteria
vOTU13457	66553	66.553	41.49	Proteobacteria
vOTU13460	84886	84.886	40.94	Proteobacteria
vOTU13466	83558	83.558	32.04	Proteobacteria
vOTU13472	34066	34.066	45.56	Proteobacteria
vOTU13475	82426	82.426	55.77	Proteobacteria
vOTU13476	32700	32.7	59.33	Proteobacteria
vOTU13478	41562	41.562	52.21	Proteobacteria
vOTU13489	42136	42.136	51.4	Proteobacteria
vOTU13495	33190	33.19	45.75	Proteobacteria
vOTU13501	41001	41.001	38.03	Proteobacteria
vOTU13508	82267	82.267	41.34	Proteobacteria
vOTU13517	32130	32.13	39.07	Proteobacteria
vOTU13522	142981	142.981	43.24	Proteobacteria
vOTU13523	46485	46.485	46.4	Proteobacteria
vOTU13524	53527	53.527	52.91	Proteobacteria
vOTU13527	26462	26.462	52.72	Proteobacteria
vOTU13541	47283	47.283	51.62	Proteobacteria
vOTU13545	85917	85.917	44.46	Proteobacteria
vOTU13549	33167	33.167	56.52	Proteobacteria
vOTU13551	81765	81.765	56.56	Proteobacteria
vOTU13553	63306	63.306	39.95	Proteobacteria
vOTU13555	52507	52.507	50.32	Proteobacteria
vOTU13558	38109	38.109	58.74	Proteobacteria
vOTU13560	104513	104.513	47.4	Proteobacteria
vOTU13564	42880	42.88	46.5	Proteobacteria
vOTU13567	58712	58.712	53.16	Proteobacteria
vOTU13569	50041	50.041	55.07	Proteobacteria
vOTU13573	5564	5.564	45.7	Proteobacteria
vOTU13576	65299	65.299	32.32	Proteobacteria
vOTU13577	31856	31.856	56.99	Proteobacteria
vOTU13580	33680	33.68	46.87	Proteobacteria
vOTU13586	32269	32.269	41.01	Proteobacteria
vOTU13588	20370	20.37	48.8	Proteobacteria
vOTU13589	50965	50.965	55.41	Proteobacteria
vOTU13592	44331	44.331	53.06	Proteobacteria
vOTU13600	18095	18.095	56.1	Proteobacteria
vOTU13606	28630	28.63	49.15	Proteobacteria
vOTU13609	21600	21.6	47.08	Proteobacteria
vOTU13610	22512	22.512	46.79	Proteobacteria
vOTU13622	81025	81.025	39.16	Proteobacteria
vOTU13624	33028	33.028	32.55	Proteobacteria
vOTU13626	60223	60.223	49.92	Proteobacteria
vOTU13629	28683	28.683	45.79	Proteobacteria
vOTU13632	32888	32.888	48.59	Proteobacteria
vOTU13639	83624	83.624	53.48	Proteobacteria
vOTU13640	59231	59.231	29.89	Proteobacteria
vOTU13644	36965	36.965	62.78	Proteobacteria
vOTU13648	50305	50.305	38.3	Proteobacteria
vOTU13653	36987	36.987	41.58	Proteobacteria
vOTU13656	15912	15.912	45.1	Proteobacteria
vOTU13665	5400	5.4	48.91	Proteobacteria
vOTU13668	65803	65.803	39.45	Proteobacteria
vOTU13687	23083	23.083	56.49	Proteobacteria
vOTU13689	14284	14.284	52.81	Proteobacteria
vOTU13690	56397	56.397	42.32	Proteobacteria
vOTU13691	96025	96.025	28.03	Proteobacteria
vOTU13692	45836	45.836	41.41	Proteobacteria
vOTU13694	43720	43.72	44.31	Proteobacteria
vOTU13699	34940	34.94	32.88	Proteobacteria
vOTU13702	48222	48.222	32.88	Proteobacteria
vOTU13712	36950	36.95	51.76	Proteobacteria
vOTU13717	39333	39.333	54.54	Proteobacteria
vOTU13720	94235	94.235	38.73	Proteobacteria
vOTU13721	32737	32.737	45.75	Proteobacteria
vOTU13723	63970	63.97	59.37	Proteobacteria
vOTU13725	34016	34.016	56.25	Proteobacteria
vOTU13735	25191	25.191	54.65	Proteobacteria
vOTU13748	97299	97.299	32.07	Proteobacteria
vOTU13753	43204	43.204	40.74	Proteobacteria
vOTU13763	11999	11.999	43.3	Proteobacteria
vOTU13770	107085	107.085	37.05	Proteobacteria
vOTU13785	43814	43.814	58.61	Proteobacteria
vOTU13786	20713	20.713	47.87	Proteobacteria
vOTU13792	96162	96.162	44.33	Proteobacteria
vOTU13793	66484	66.484	58.14	Proteobacteria
vOTU13795	66013	66.013	54.62	Proteobacteria
vOTU13796	42223	42.223	43.23	Proteobacteria
vOTU13802	29594	29.594	55.47	Proteobacteria
vOTU13803	49018	49.018	54.46	Proteobacteria
vOTU13813	37891	37.891	56.69	Proteobacteria
vOTU13815	29373	29.373	53.58	Proteobacteria
vOTU13818	99244	99.244	33.11	Proteobacteria
vOTU13820	166419	166.419	39.58	Proteobacteria
vOTU13823	39123	39.123	45.17	Proteobacteria
vOTU13827	17131	17.131	36.59	Proteobacteria
vOTU13836	83412	83.412	44.88	Proteobacteria
vOTU13840	32538	32.538	51.59	Proteobacteria
vOTU13844	16800	16.8	35.32	Proteobacteria
vOTU13852	40565	40.565	45.02	Proteobacteria
vOTU13864	52183	52.183	42.15	Proteobacteria
vOTU13865	52246	52.246	60.21	Proteobacteria
vOTU13866	84059	84.059	50.12	Proteobacteria
vOTU13867	38528	38.528	37.45	Proteobacteria
vOTU13868	47976	47.976	44.48	Proteobacteria
vOTU13873	75297	75.297	37.42	Proteobacteria
vOTU13874	87481	87.481	57.87	Proteobacteria
vOTU13880	47491	47.491	45.99	Proteobacteria
vOTU13884	28328	28.328	49.3	Proteobacteria
vOTU13885	53852	53.852	56.37	Proteobacteria
vOTU13893	40662	40.662	48.72	Proteobacteria
vOTU13899	14989	14.989	26.66	Proteobacteria
vOTU13900	30025	30.025	58.81	Proteobacteria
vOTU13903	95103	95.103	53.79	Proteobacteria
vOTU13911	42260	42.26	51.22	Proteobacteria
vOTU13914	39006	39.006	40.92	Proteobacteria
vOTU13915	37935	37.935	58.64	Proteobacteria
vOTU13916	30629	30.629	43.4	Proteobacteria
vOTU13933	15311	15.311	35.62	Proteobacteria
vOTU13941	20243	20.243	65.07	Proteobacteria
vOTU13946	70197	70.197	40.47	Proteobacteria
vOTU13947	64333	64.333	29.57	Proteobacteria
vOTU13957	76954	76.954	49.53	Proteobacteria
vOTU13960	44819	44.819	41.31	Proteobacteria
vOTU13971	26441	26.441	28.65	Proteobacteria
vOTU13972	63009	63.009	51.33	Proteobacteria
vOTU13980	67867	67.867	58.58	Proteobacteria
vOTU13985	51707	51.707	57.41	Proteobacteria
vOTU13998	65741	65.741	27.55	Proteobacteria
vOTU14004	35953	35.953	43.54	Proteobacteria
vOTU14010	28563	28.563	54.33	Proteobacteria
vOTU14011	38079	38.079	38.78	Proteobacteria
vOTU14013	101665	101.665	43.57	Proteobacteria
vOTU14014	35427	35.427	64.83	Proteobacteria
vOTU14016	9665	9.665	43.09	Proteobacteria
vOTU14023	98394	98.394	44.49	Proteobacteria
vOTU14024	63991	63.991	57.05	Proteobacteria
vOTU14026	15407	15.407	39.07	Proteobacteria
vOTU14028	48417	48.417	51.25	Proteobacteria
vOTU14033	43392	43.392	62.67	Proteobacteria
vOTU14037	30376	30.376	59.35	Proteobacteria
vOTU14038	37811	37.811	48.26	Proteobacteria
vOTU14040	65409	65.409	38.02	Proteobacteria
vOTU14043	86782	86.782	42.88	Proteobacteria
vOTU14048	36869	36.869	45.1	Proteobacteria
vOTU14066	36700	36.7	53.28	Proteobacteria
vOTU14070	68035	68.035	46.52	Proteobacteria
vOTU14071	225344	225.344	40.19	Proteobacteria
vOTU14074	68558	68.558	49.32	Proteobacteria
vOTU14077	48030	48.03	54.35	Proteobacteria
vOTU14079	36316	36.316	46.36	Proteobacteria
vOTU14091	40304	40.304	50.19	Proteobacteria
vOTU14092	58345	58.345	45.21	Proteobacteria
vOTU14096	50023	50.023	48.01	Proteobacteria
vOTU14101	103361	103.361	38.9	Proteobacteria
vOTU14103	54013	54.013	48.43	Proteobacteria
vOTU14106	9270	9.27	38.78	Proteobacteria
vOTU14108	37455	37.455	37.25	Proteobacteria
vOTU14113	132145	132.145	56.29	Proteobacteria
vOTU14114	54107	54.107	55.36	Proteobacteria
vOTU14115	51989	51.989	44.73	Proteobacteria
vOTU14118	27565	27.565	38.24	Proteobacteria
vOTU14123	115514	115.514	43.38	Proteobacteria
vOTU14132	116539	116.539	48.24	Proteobacteria
vOTU14135	75856	75.856	54.11	Proteobacteria
vOTU14147	32327	32.327	47.28	Proteobacteria
vOTU14155	59503	59.503	41.51	Proteobacteria
vOTU14158	30195	30.195	46.14	Proteobacteria
vOTU14160	41989	41.989	59.86	Proteobacteria
vOTU14166	37511	37.511	39.7	Proteobacteria
vOTU14167	37004	37.004	41.69	Proteobacteria
vOTU14170	53079	53.079	51.01	Proteobacteria
vOTU14177	31639	31.639	60.24	Proteobacteria
vOTU14180	15780	15.78	37.43	Proteobacteria
vOTU14186	34443	34.443	59.3	Proteobacteria
vOTU14188	60148	60.148	56.84	Proteobacteria
vOTU14189	54000	54	46.95	Proteobacteria
vOTU14191	42264	42.264	45.66	Proteobacteria
vOTU14201	52331	52.331	49.63	Proteobacteria
vOTU14209	6765	6.765	37.87	Proteobacteria
vOTU14216	30376	30.376	59.05	Proteobacteria
vOTU14218	47476	47.476	60.1	Proteobacteria
vOTU14220	44288	44.288	53.01	Proteobacteria
vOTU14222	127069	127.069	53.44	Proteobacteria
vOTU14223	42150	42.15	59.33	Proteobacteria
vOTU14225	58774	58.774	28.31	Proteobacteria
vOTU14228	26636	26.636	45.24	Proteobacteria
vOTU14230	18330	18.33	63.39	Proteobacteria
vOTU14235	44673	44.673	48.43	Proteobacteria
vOTU14238	114193	114.193	57.13	Proteobacteria
vOTU14240	22858	22.858	38.17	Proteobacteria
vOTU14241	36698	36.698	39.57	Proteobacteria
vOTU14242	47417	47.417	47.74	Proteobacteria
